Banco,Sucursal,Direccion,Ciudad,Pais,Latitud,Longitud
Banco Popular ,Catamaran,"Catamaran, 2",Madrid,Espana,52.2157173,5.4608429

Banco Popular ,Arturo Soria,"Arturo Soria, 166",Madrid,Espana,40.4487008,-3.6505874

Banco Popular ,Principe de Vergara,"Principe de Vergara, 208",Madrid,Espana,36.5189667,-4.876947

Banco Popular ,Infanta Mercedes,"Infanta Mercedes, 31",Madrid,Espana,-32.8954894,-68.8420281

Banco Popular ,Monforte de Lemos,"Monforte de Lemos, 166",Madrid,Espana,42.5236693,-7.509695

Banco Popular ,Ibiza,"Ibiza, 70",Madrid,Espana,-33.1255243,-71.5734636

Banco Popular ,Carretera Colmenar,"Carretera Colmenar, Km 9",Madrid,Espana,40.1948764,-3.4666467

Banco Popular ,Bravo Murillo,"Bravo Murillo, 237",Madrid,Espana,40.4510674,-3.7033717

Banco Popular ,Isabel Colbrand,"Isabel Colbrand, 18",Madrid,Espana,40.510624,-3.6775713

Banco Popular ,Paseo de La Florida,Paseo de La Florida,Madrid,Espana,40.4245287,-3.7251147

Banco Popular ,Labastida 11,"Labastida 11,",Madrid,Espana,42.5903817,-2.7928697

Banco Popular ,Velazquez 34,Velazquez 34,Madrid,Espana,41.7728418,-0.3260693

Banco Popular ,Aquitania,"Aquitania, 19",Madrid,Espana,5.5184511,-72.8840619

Banco Popular ,Paseo de La Castellana 174,"Paseo de La Castellana 174,",Madrid,Espana,40.4753415,-3.6867245

